date,value
10/02/2012,607.881064
09/02/2012,612.021042
08/02/2012,608.641044
07/02/2012,607.151042
06/02/2012,595.011021
03/02/2012,590.66103
02/02/2012,584.871027
01/02/2012,584.940991
31/01/2012,583.001004
30/01/2012,578.050992
27/01/2012,570.780973
26/01/2012,571.980951
25/01/2012,577.511011
24/01/2012,586.321024
23/01/2012,586.000981
20/01/2012,590.531028
19/01/2012,640.99109
18/01/2012,626.631045
17/01/2012,631.98111
13/01/2012,626.261071
12/01/2012,631.221069
11/01/2012,623.501065
10/01/2012,629.751099
09/01/2012,646.501116
06/01/2012,659.151159
05/01/2012,662.131164
04/01/2012,665.031159
03/01/2012,652.94113
30/12/2011,642.021122
29/12/2011,641.491127
28/12/2011,642.751083
27/12/2011,632.051074
23/12/2011,632.001082
22/12/2011,627.951101
21/12/2011,630.011104
20/12/2011,628.001092
19/12/2011,628.011078
16/12/2011,624.321084
15/12/2011,622.521085
14/12/2011,621.851041
13/12/2011,628.761073
12/12/2011,621.88106
09/12/2011,618.001086
08/12/2011,621.041069
07/12/2011,621.681094
06/12/2011,622.991042
05/12/2011,627.641105
02/12/2011,617.051065
01/12/2011,600.001038
30/11/2011,597.951021
29/11/2011,587.88099
28/11/2011,579.370987
25/11/2011,565.190997
23/11/2011,575.350963
22/11/2011,580.000965
21/11/2011,587.761035
18/11/2011,602.001003
17/11/2011,610.051036
16/11/2011,612.08102
15/11/2011,612.801056
14/11/2011,608.001019
11/11/2011,601.301061
10/11/2011,605.93103
09/11/2011,604.261033
08/11/2011,609.001032
07/11/2011,593.320992
04/11/2011,593.501047
03/11/2011,587.000994
02/11/2011,584.900985
01/11/2011,580.101009
31/10/2011,595.091032
28/10/2011,594.521032
27/10/2011,598.421039
26/10/2011,589.550987
25/10/2011,593.100993
24/10/2011,586.721017
21/10/2011,589.510981
20/10/2011,581.901008
19/10/2011,587.341009
18/10/2011,580.191006
17/10/2011,583.720979
14/10/2011,599.471043
13/10/2011,550.030966
12/10/2011,548.130923
11/10/2011,533.460944
10/10/2011,525.180925
07/10/2011,516.830882
06/10/2011,507.50086
05/10/2011,496.350836
04/10/2011,490.030838
03/10/2011,509.850887
30/09/2011,520.21088
29/09/2011,536.040895
28/09/2011,541.500929
27/09/2011,538.200942
26/09/2011,527.250915
23/09/2011,516.560892
22/09/2011,526.250902
21/09/2011,547.690925
20/09/2011,549.400927
19/09/2011,540.350942
16/09/2011,544.800917
15/09/2011,535.500914
14/09/2011,532.590933
13/09/2011,532.000899
12/09/2011,517.960897
09/09/2011,531.40094
08/09/2011,533.800898
07/09/2011,530.450919
06/09/2011,510.800878
02/09/2011,524.470875
01/09/2011,540.750935
31/08/2011,544.740939
30/08/2011,538.190895
29/08/2011,534.560939
26/08/2011,519.990881
25/08/2011,530.380894
24/08/2011,519.330884
23/08/2011,503.50087
22/08/2011,504.000876
19/08/2011,499.340858
18/08/2011,523.470924
17/08/2011,540.030899
16/08/2011,552.430924
15/08/2011,553.430936
12/08/2011,569.500983
11/08/2011,553.820943
10/08/2011,561.380987
09/08/2011,561.000966
08/08/2011,562.980958
05/08/2011,582.540972
04/08/2011,594.500998
03/08/2011,594.271013
02/08/2011,606.001054
01/08/2011,611.221057
29/07/2011,604.231014
28/07/2011,605.191021
27/07/2011,617.181067
26/07/2011,618.051078
25/07/2011,613.361071
22/07/2011,605.391048
21/07/2011,594.031042
20/07/2011,602.181058
19/07/2011,596.141037
18/07/2011,592.490987
15/07/2011,597.501037
14/07/2011,539.120944
13/07/2011,537.000902
12/07/2011,528.160931
11/07/2011,528.180903
08/07/2011,532.950921
07/07/2011,541.000954
06/07/2011,533.500888
05/07/2011,525.30088
01/07/2011,506.740879
30/06/2011,501.990864
29/06/2011,496.540846
28/06/2011,484.020836
27/06/2011,474.000827
24/06/2011,480.680813
23/06/2011,482.13084
22/06/2011,491.450846
21/06/2011,487.190821
20/06/2011,485.000846
17/06/2011,506.180865
16/06/2011,502.810853
15/06/2011,505.030878
14/06/2011,508.150871
13/06/2011,510.000861
10/06/2011,514.080862
09/06/2011,520.000867
08/06/2011,516.530872
07/06/2011,522.890876
06/06/2011,523.540887
03/06/2011,522.000893
02/06/2011,527.570897
01/06/2011,528.040914
31/05/2011,525.00087
27/05/2011,518.480907
26/05/2011,517.700893
25/05/2011,517.330858
24/05/2011,520.370902
23/05/2011,516.600897
20/05/2011,531.800933
19/05/2011,532.730921
18/05/2011,529.540903
17/05/2011,515.430877
16/05/2011,526.310879
13/05/2011,534.610931
12/05/2011,535.240909
11/05/2011,540.140929
10/05/2011,540.000941
09/05/2011,535.000938
06/05/2011,538.150951
05/05/2011,533.860937
04/05/2011,535.170945
03/05/2011,537.130904
02/05/2011,545.700947
29/04/2011,540.000941
28/04/2011,538.060893
27/04/2011,538.000915
26/04/2011,526.520892
25/04/2011,525.250889
21/04/2011,527.490886
20/04/2011,525.9009
19/04/2011,529.950882
18/04/2011,526.420909
15/04/2011,545.290906
14/04/2011,575.191003
13/04/2011,575.510985
12/04/2011,575.000962
11/04/2011,576.201002
08/04/2011,584.890999
07/04/2011,575.730984
06/04/2011,572.180978
05/04/2011,581.080989
04/04/2011,593.00101
01/04/2011,588.760987
31/03/2011,583.001004
30/03/2011,584.380976
29/03/2011,576.000975
28/03/2011,582.071016
25/03/2011,586.880978
24/03/2011,585.43098
23/03/2011,575.191003
22/03/2011,577.270978
21/03/2011,570.220958
18/03/2011,564.640968
17/03/2011,564.480947
16/03/2011,568.010981
15/03/2011,557.500951
14/03/2011,572.80097
11/03/2011,578.221
10/03/2011,585.441028
09/03/2011,591.000984
08/03/2011,592.931046
07/03/2011,600.551006
04/03/2011,608.331048
03/03/2011,606.381014
02/03/2011,599.801011
01/03/2011,617.781087
28/02/2011,610.001045
25/02/2011,611.861021
24/02/2011,611.391064
23/02/2011,610.331074
22/02/2011,620.03107
18/02/2011,626.001067
17/02/2011,621.251082
16/02/2011,625.631093
15/02/2011,627.321061
14/02/2011,623.341043
11/02/2011,613.791083
10/02/2011,613.901052
09/02/2011,616.871071
08/02/2011,614.931084
07/02/2011,610.161066
04/02/2011,610.151019
03/02/2011,609.481035
02/02/2011,611.001057
01/02/2011,604.491018
31/01/2011,603.601036
28/01/2011,619.071063
27/01/2011,617.891056
26/01/2011,620.33108
25/01/2011,608.201046
24/01/2011,607.571068
21/01/2011,639.581098
20/01/2011,632.211096
19/01/2011,642.121105
18/01/2011,626.061044
14/01/2011,617.401066
13/01/2011,616.971054
12/01/2011,619.351039
11/01/2011,617.711062
10/01/2011,614.801082
07/01/2011,615.911064
06/01/2011,610.681075
05/01/2011,600.071002
04/01/2011,605.621034
03/01/2011,596.481052
31/12/2010,596.740995
30/12/2010,598.001013
29/12/2010,602.001003
28/12/2010,602.051056
27/12/2010,602.741011
23/12/2010,605.341057
22/12/2010,604.001029
21/12/2010,598.571013
20/12/2010,594.651034
17/12/2010,591.000984
16/12/2010,592.851035
15/12/2010,594.200988
14/12/2010,597.090997
13/12/2010,597.121016
10/12/2010,593.140998
09/12/2010,593.881006
08/12/2010,591.971039
07/12/2010,591.271036
06/12/2010,580.570966
03/12/2010,569.450992
02/12/2010,568.660992
01/12/2010,563.000991
30/11/2010,574.320992
29/11/2010,589.171027
26/11/2010,590.461003
24/11/2010,587.31099
23/11/2010,587.01098
22/11/2010,587.471012
19/11/2010,597.001
18/11/2010,589.00102
17/11/2010,585.001029
16/11/2010,592.761038
15/11/2010,603.081027
12/11/2010,613.991049
11/11/2010,619.701041
10/11/2010,622.081087
09/11/2010,630.001057
08/11/2010,624.021074
05/11/2010,623.181083
04/11/2010,624.641066
03/11/2010,617.501049
02/11/2010,618.67107
01/11/2010,615.73107
29/10/2010,617.071037
28/10/2010,620.051042
27/10/2010,615.771075
26/10/2010,613.101066
25/10/2010,615.591082
22/10/2010,611.921059
21/10/2010,611.511019
20/10/2010,608.141068
19/10/2010,608.851057
18/10/2010,600.551006
15/10/2010,599.271016
14/10/2010,544.180925
13/10/2010,547.000908
12/10/2010,540.120896
11/10/2010,538.480919
08/10/2010,532.770927
07/10/2010,536.210902
06/10/2010,539.260932
05/10/2010,528.38093
04/10/2010,524.950879
01/10/2010,530.000935
30/09/2010,529.160882
29/09/2010,527.850935
28/09/2010,533.480916
27/09/2010,528.850886
24/09/2010,521.740888
23/09/2010,514.610857
22/09/2010,512.860881
21/09/2010,509.680879
20/09/2010,492.500851
17/09/2010,483.750815
16/09/2010,479.950821
15/09/2010,479.950821
14/09/2010,482.010824
13/09/2010,480.900812
10/09/2010,479.020833
09/09/2010,477.83081
08/09/2010,465.190783
07/09/2010,464.500797
03/09/2010,470.520815
02/09/2010,462.840787
01/09/2010,454.980795
31/08/2010,450.110763
30/08/2010,459.150792
27/08/2010,452.560773
26/08/2010,456.060788
25/08/2010,450.000764
24/08/2010,457.700795
23/08/2010,461.500789
20/08/2010,467.970792
19/08/2010,481.010811
18/08/2010,490.440847
17/08/2010,488.530849
16/08/2010,483.680821
13/08/2010,489.000836
12/08/2010,483.940825
11/08/2010,497.730839
10/08/2010,502.350852
09/08/2010,502.250869
06/08/2010,505.400882
05/08/2010,505.890872
04/08/2010,492.180838
03/08/2010,490.500856
02/08/2010,488.99085
30/07/2010,479.650811
29/07/2010,485.950837
28/07/2010,494.940844
27/07/2010,490.580836
26/07/2010,489.090833
23/07/2010,480.770809
22/07/2010,483.230836
21/07/2010,484.000833
20/07/2010,461.030802
19/07/2010,461.010799
16/07/2010,469.12081
15/07/2010,491.730854
14/07/2010,489.880833
13/07/2010,482.250826
12/07/2010,472.370806
09/07/2010,471.960796
08/07/2010,453.550769
07/07/2010,438.310758
06/07/2010,444.000748
02/07/2010,441.620762
01/07/2010,445.290754
30/06/2010,454.960792
29/06/2010,463.440807
28/06/2010,472.590805
25/06/2010,477.060813
24/06/2010,479.660828
23/06/2010,486.890842
22/06/2010,489.900836
21/06/2010,499.900872
18/06/2010,502.510873
17/06/2010,503.450878
16/06/2010,496.170842
15/06/2010,483.080831
14/06/2010,494.480843
11/06/2010,482.500814
10/06/2010,480.370817
09/06/2010,487.22084
08/06/2010,487.850849
07/06/2010,499.06085
04/06/2010,499.720848
03/06/2010,495.110852
02/06/2010,486.680828
01/06/2010,480.430825
28/05/2010,492.740852
27/05/2010,484.950824
26/05/2010,482.070832
25/05/2010,468.150816
24/05/2010,480.730835
21/05/2010,469.060802
20/05/2010,485.07084
19/05/2010,496.260839
18/05/2010,510.000861
17/05/2010,506.780854
14/05/2010,509.770876
13/05/2010,516.500914
12/05/2010,512.040892
11/05/2010,515.670909
10/05/2010,513.970893
07/05/2010,499.970866
06/05/2010,508.750861
05/05/2010,500.980865
04/05/2010,526.520892
03/05/2010,526.50092
30/04/2010,531.130889
29/04/2010,533.370886
28/04/2010,532.100882
27/04/2010,528.95093
26/04/2010,544.970924
23/04/2010,547.250927
22/04/2010,552.000973
21/04/2010,556.460933
20/04/2010,554.170945
19/04/2010,548.750915
16/04/2010,563.000991
15/04/2010,592.171005
14/04/2010,590.06101
13/04/2010,572.53098
12/04/2010,567.350983
09/04/2010,567.490971
08/04/2010,563.320974
07/04/2010,567.300992
06/04/2010,569.460978
05/04/2010,570.900989
01/04/2010,571.350973
31/03/2010,565.050947
30/03/2010,562.830984
29/03/2010,563.000991
26/03/2010,565.270947
25/03/2010,559.020973
24/03/2010,545.510906
23/03/2010,557.040981
22/03/2010,556.110932
19/03/2010,560.000953
18/03/2010,564.720979
17/03/2010,568.301005
16/03/2010,561.830971
15/03/2010,566.681
12/03/2010,588.140995
11/03/2010,574.261015
10/03/2010,563.760972
09/03/2010,559.850979
08/03/2010,564.780957
05/03/2010,561.350967
04/03/2010,546.500932
03/03/2010,542.360954
02/03/2010,535.480941
01/03/2010,529.200888
26/02/2010,527.420922
25/02/2010,527.120912
24/02/2010,533.980892
23/02/2010,543.000918
22/02/2010,547.35091
19/02/2010,540.530936
18/02/2010,537.540945
17/02/2010,542.000905
16/02/2010,536.8709
12/02/2010,532.970893
11/02/2010,533.320894
10/02/2010,534.070888
09/02/2010,539.540909
08/02/2010,532.500936
05/02/2010,528.400902
04/02/2010,537.000902
03/02/2010,528.670892
02/02/2010,534.960932
01/02/2010,534.600945
29/01/2010,538.490905
28/01/2010,544.490921
27/01/2010,541.270944
26/01/2010,537.970896
25/01/2010,546.590929
22/01/2010,564.50098
21/01/2010,583.441002
20/01/2010,585.981009
19/01/2010,581.201005
15/01/2010,593.341025
14/01/2010,583.900972
13/01/2010,576.490965
